watch_id,brand,product_name,sku,image_url,local_path,status
1,Seiko,Seiko Prospex SPB103J Divers Erkek Kol Saati,SPB103J,https://www.abtsaat.com/productimages/99601/big/seiko-sumo-prospex-diver-200m-spb103j1-erkek-kol-saati-2.jpeg,watch_images/seiko/spb103j/watch_1__spb103j__0343cc05ba.jpeg,downloaded
3,Citizen,Citizen Promaster BN2040-17X Erkek Kol Saati,BN2040-17X,https://www.abtsaat.com/productimages/101058/big/citizen-bn2040-17x-erkek-kol-saati.png,watch_images/citizen/bn2040-17x/watch_3__bn2040-17x__afa51af64e.png,downloaded
5,Citizen,Citizen AT1195-83E Eco-Drive Erkek Kol Saati,AT1195-83E,https://www.abtsaat.com/productimages/101125/big/at1195-83e.png,watch_images/citizen/at1195-83e/watch_5__at1195-83e__1054890023.png,downloaded
7,Laco,Laco Flieger Stuttgart Pro 862141_115 Otomatik Erkek Kol Saati,862141_115,https://www.abtsaat.com/productimages/103442/big/laco-1.png,watch_images/laco/862141_115/watch_7__862141_115__206f76ae87.png,downloaded
33,Hamilton,Hamilton American Classic Chrono-Matic 50 Limited Edition H51616731 Otomatik Kronograf Erkek Kol Saati,H51616731,https://www.abtsaat.com/productimages/103221/big/hamilton-h51616731-american-classic-erkek-kol-saati-2.png,watch_images/hamilton/h51616731/watch_33__h51616731__debd5615a0.png,downloaded
34,Citizen,Citizen Promaster BN2041-81L Erkek Kol Saati,BN2041-81L,https://www.abtsaat.com/productimages/101059/big/citizen-promaster-sea-bn2041-81l-13132233.jpeg,watch_images/citizen/bn2041-81l/watch_34__bn2041-81l__e9c58fe006.jpeg,downloaded
36,Citizen,Citizen AW1640-83H Eco-Drive Erkek Kol Saati,AW1640-83H,https://www.abtsaat.com/productimages/101426/big/citizen-aw1640-83h-eco-drive-erkek-kol-saati-1.png,watch_images/citizen/aw1640-83h/watch_36__aw1640-83h__af2f0c0bc0.png,downloaded
40,Citizen,Citizen Eco-Drive BM8550-14AE Erkek Kol Saati,BM8550-14AE,https://www.abtsaat.com/productimages/102207/big/citizen-bm8550-14ae-eco-drive-erkek-kol-saati-3.png,watch_images/citizen/bm8550-14ae/watch_40__bm8550-14ae__a7b9ddbdc1.png,downloaded
41,Citizen,Citizen Promaster NY0040-17LE Otomatik Erkek,NY0040-17LE,https://www.abtsaat.com/productimages/102317/big/citizen-ny0040-17l-2.png,watch_images/citizen/ny0040-17le/watch_41__ny0040-17le__fb253f6490.png,downloaded
42,Citizen,Citizen BM8476-23EE Eco-Drive Erkek Kol Saati,BM8476-23EE,https://www.abtsaat.com/productimages/101410/big/citizen-bm8476-23ee-erkek-kol-saati-2.jpeg,watch_images/citizen/bm8476-23ee/watch_42__bm8476-23ee__2a5e584be9.jpeg,downloaded
